Kalendertag,Absatz
14-05-2014,24
14-05-2014,192
14-05-2014,96
14-05-2014,216
14-05-2014,40
14-05-2014,40
14-05-2014,120
15-05-2014,72
15-05-2014,48
15-05-2014,120
15-05-2014,60
15-05-2014,192
15-05-2014,96
15-05-2014,120
15-05-2014,20
15-05-2014,24
15-05-2014,20
15-05-2014,60
15-05-2014,40
15-05-2014,24
15-05-2014,2
16-05-2014,0
16-05-2014,72
16-05-2014,192
16-05-2014,48
16-05-2014,192
16-05-2014,20
16-05-2014,48
16-05-2014,0
17-05-2014,24
17-05-2014,24
17-05-2014,20
17-05-2014,40
17-05-2014,24
17-05-2014,80
17-05-2014,72
17-05-2014,48
17-05-2014,15
19-05-2014,48
19-05-2014,168
19-05-2014,192
19-05-2014,96
19-05-2014,144
19-05-2014,32
19-05-2014,80
19-05-2014,96
19-05-2014,24
20-05-2014,48
20-05-2014,72
20-05-2014,48
20-05-2014,120
20-05-2014,20
20-05-2014,40
20-05-2014,-48
20-05-2014,24
20-05-2014,80
20-05-2014,100
20-05-2014,48
20-05-2014,24
20-05-2014,1
20-05-2014,1
20-05-2014,5
20-05-2014,48
21-05-2014,24
21-05-2014,24
21-05-2014,144
21-05-2014,72
21-05-2014,432
21-05-2014,20
21-05-2014,96
21-05-2014,216
21-05-2014,20
22-05-2014,24
22-05-2014,24
22-05-2014,72
22-05-2014,24
22-05-2014,72
22-05-2014,60
22-05-2014,140
22-05-2014,140
22-05-2014,24
23-05-2014,24
23-05-2014,24
23-05-2014,264
23-05-2014,96
23-05-2014,24
23-05-2014,20
23-05-2014,40
23-05-2014,120
23-05-2014,3
23-05-2014,4
23-05-2014,5
23-05-2014,4
24-05-2014,72
24-05-2014,96
24-05-2014,24
24-05-2014,60
24-05-2014,20
24-05-2014,24
24-05-2014,120
24-05-2014,140
24-05-2014,24
24-05-2014,24
24-05-2014,10
26-05-2014,72
26-05-2014,120
26-05-2014,60
26-05-2014,336
26-05-2014,96
26-05-2014,20
26-05-2014,48
26-05-2014,7
26-05-2014,20
27-05-2014,48
27-05-2014,216
27-05-2014,48
27-05-2014,20
27-05-2014,168
27-05-2014,120
27-05-2014,20
27-05-2014,24
27-05-2014,-40
27-05-2014,120
27-05-2014,140
27-05-2014,96
27-05-2014,24
27-05-2014,1
27-05-2014,1
27-05-2014,1
27-05-2014,48
28-05-2014,24
28-05-2014,0
28-05-2014,120
28-05-2014,96
28-05-2014,144
28-05-2014,240
28-05-2014,100
28-05-2014,40
28-05-2014,60
28-05-2014,120
30-05-2014,192
30-05-2014,432
30-05-2014,312
30-05-2014,120
30-05-2014,20
30-05-2014,20
30-05-2014,48
30-05-2014,48
31-05-2014,96
31-05-2014,60
31-05-2014,40
31-05-2014,24
31-05-2014,80
31-05-2014,24
31-05-2014,48
31-05-2014,30
31-05-2014,10
31-05-2014,60
31-05-2014,40
31-05-2014,48
02-06-2014,24
02-06-2014,72
02-06-2014,336
02-06-2014,96
02-06-2014,312
02-06-2014,80
02-06-2014,72
02-06-2014,20
02-06-2014,96
02-06-2014,40
03-06-2014,72
03-06-2014,72
03-06-2014,120
03-06-2014,168
03-06-2014,192
03-06-2014,120
03-06-2014,80
03-06-2014,48
03-06-2014,120
03-06-2014,100
03-06-2014,120
03-06-2014,24
03-06-2014,2
03-06-2014,5
03-06-2014,20
03-06-2014,3
03-06-2014,72
04-06-2014,96
04-06-2014,120
04-06-2014,216
04-06-2014,60
04-06-2014,40
04-06-2014,20
04-06-2014,24
04-06-2014,48
05-06-2014,72
05-06-2014,144
05-06-2014,24
05-06-2014,60
05-06-2014,48
05-06-2014,168
05-06-2014,140
05-06-2014,40
05-06-2014,96
